source,nation,title
https://fairytalez.com/momotaro/,japanese,Momotaro
https://fairytalez.com/the-birdcatcher/,serbian,The Birdcatcher
https://fairytalez.com/sharing-joy-and-sorrow/,german,Sharing Joy and Sorrow
https://fairytalez.com/the-punishment-of-gangana/,french,The Punishment of Gangana
https://fairytalez.com/the-peace-with-the-snakes/,north_american_native,The Peace with the Snakes
https://fairytalez.com/how-the-tiger-got-his-stripes/,brazilian,How the Tiger Got His Stripes
https://fairytalez.com/the-old-woman-and-the-cat/,armenian,The Old Woman and the Cat
https://fairytalez.com/a-blow-in-the-dark/,north_american_native,A Blow in the Dark
https://fairytalez.com/the-sacred-milk-of-koumongoe/,north_american_native,The Sacred Milk of Koumongoe
https://fairytalez.com/gobborn-seer/,english,Gobborn Seer
https://fairytalez.com/titty-mouse-and-tatty-mouse/,english,Titty Mouse and Tatty Mouse
https://fairytalez.com/father-frost/,russian,Father Frost
https://fairytalez.com/the-ass-and-his-driver/,greek,The Ass and his Driver
https://fairytalez.com/the-peasant-in-heaven/,german,The Peasant in Heaven
https://fairytalez.com/the-thieves-and-the-cock/,greek,The Thieves and the Cock
https://fairytalez.com/okteondon-uncle-planter-winter-delaying-spring/,north_american_native,"Okteondon and His Uncle, The Planter, or, Winter Delaying Spring"
https://fairytalez.com/the-prince-and-the-princess-in-the-forest/,danish,The Prince and the Princess in the Forest
https://fairytalez.com/children-one-eye/,canadian_native,The Children with One Eye
https://fairytalez.com/the-crystal-ball/,german,The Crystal Ball
https://fairytalez.com/seven-headed-serpent/,greek,The Seven-Headed Serpent
https://fairytalez.com/the-beautiful-damsel-and-the-wicked-old-woman/,ukrainian,The Beautiful Damsel and the Wicked Old Woman
https://fairytalez.com/the-wicked-wolverine/,north_american_native,The Wicked Wolverine
https://fairytalez.com/the-king-who-was-fried/,indian,The King Who Was Fried
https://fairytalez.com/the-hobyahs/,english,The Hobyahs
https://fairytalez.com/hans-the-hedgehog/,german,Hans the Hedgehog
https://fairytalez.com/youth-dog-dance/,canadian_native,The Youth and the Dog-Dance
https://fairytalez.com/giant-no-heart-body/,norwegian,The Giant Who Had No Heart in His Body
https://fairytalez.com/how-perseus-came-to-the-aethiops/,greek,How Perseus Came to the Æthiops
https://fairytalez.com/the-story-of-gelert/,welsh,The Story of Gelert
https://fairytalez.com/the-mail-coach-passengers/,scandinavian,The Mail-Coach Passengers
https://fairytalez.com/minnikin/,norwegian,Minnikin
https://fairytalez.com/prince-kindhearted/,polish,Prince Kindhearted
https://fairytalez.com/swanda-the-piper/,czechoslovak,"Swanda, the Piper"
https://fairytalez.com/the-dog-and-the-wolf/,greek,The Dog and the Wolf
https://fairytalez.com/the-laird-o-co/,scottish,The Laird O' Co'
https://fairytalez.com/the-three-red-piggies/,danish,The Three Red Piggies
https://fairytalez.com/how-theseus-slew-the-devourers-of-men/,greek,How Theseus Slew the Devourers of Men
https://fairytalez.com/old-man-and-the-fox/,north_american_native,Old Man and the Fox
https://fairytalez.com/story-of-the-knight-yaroslav-lasarevich-and-the-princess-anastasia/,russian,Story of the Knight Yaroslav Lasarevich and the Princess Anastasia
https://fairytalez.com/the-lost-woman/,north_american_native,The Lost Woman
https://fairytalez.com/andrew-coffey/,celtic,Andrew Coffey
https://fairytalez.com/the-wonderful-exploits-of-grasshopper/,north_american_native,The Wonderful Exploits of Grasshopper
https://fairytalez.com/the-daughter-of-the-king-of-naples/,portuguese,The Daughter of the King of Naples
https://fairytalez.com/the-fairy-mother/,greek,The Fairy Mother
https://fairytalez.com/the-grave-mound/,german,The Grave-Mound
https://fairytalez.com/a-story-from-the-sand-dunes/,scandinavian,A Story from the Sand-Dunes
https://fairytalez.com/how-the-ducks-got-their-fine-feathers/,north_american_native,How the Ducks Got Their Fine Feathers
https://fairytalez.com/god-and-the-devil/,russian,God and the Devil
https://fairytalez.com/the-cripple/,danish,The Cripple
https://fairytalez.com/the-milkmaid-and-her-pail/,greek,The Milkmaid and Her Pail
https://fairytalez.com/little-muck/,arabic,Little Muck
https://fairytalez.com/fisherman-plunk-and-his-wife/,croatian,Fisherman Plunk and His Wife
https://fairytalez.com/glooskap-made-birds/,canadian_native,How Glooskap Made the Birds
https://fairytalez.com/the-ice-maiden/,danish,The Ice Maiden
https://fairytalez.com/fool-sold-wisdom/,french,The Fool Who Sold Wisdom
https://fairytalez.com/quarrel-dogs-cats/,french,Quarrel of the Dogs and Cats
https://fairytalez.com/the-first-woman/,north_american_native,The First Woman
https://fairytalez.com/the-dolls-christmas-pary/,north_american_native,The Dolls' Christmas Party
https://fairytalez.com/the-grateful-prince/,estonian,The Grateful Prince
https://fairytalez.com/brabo-giant/,dutch,Brabo and the Giant
https://fairytalez.com/zlatovlaska-golden-haired-story-yirik-snake/,czechoslovak,Zlatovlaska the Golden-Haired: The Story of Yirik and the Snake
https://fairytalez.com/mouse-and-mouser/,english,Mouse and Mouser
https://fairytalez.com/the-two-cakes/,italian,The Two Cakes
https://fairytalez.com/council-held-rats/,french,The Council Held by the Rats
https://fairytalez.com/the-torys-conversion/,north_american_native,The Tory's Conversion
https://fairytalez.com/filial-girl/,japanese,The Filial Girl
https://fairytalez.com/the-tortoise-with-a-pretty-daughter/,nigerian,The Tortoise with a Pretty Daughter
https://fairytalez.com/ugly-duckling/,scandinavian,The Ugly Duckling
https://fairytalez.com/widows-son/,norwegian,The Widow's Son
https://fairytalez.com/the-bald-man-and-the-fly/,greek,The Bald Man and the Fly
https://fairytalez.com/the-elfin-grove/,german,The Elfin Grove
https://fairytalez.com/the-rooster-and-the-pearl/,greek,The Rooster and the Pearl
https://fairytalez.com/the-dog-and-the-hides/,greek,The Dog and the Hides
http://www.albanianliterature.net/folktales/tale_13.html,albanian,The Snake and the King's Daughter
https://fairytalez.com/the-six-brothers/,maori,The Six Brothers
https://fairytalez.com/ice-king-wonderful-grandchild/,dutch,The Ice King and His Wonderful Grandchild
https://fairytalez.com/bunny-rabbit-and-the-king-of-the-beasts/,north_american_native,Bunny Rabbit and the King of the Beasts
